Country,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
South Korea,0,0,0,2346557270,2584679000,3800369794,3071066487,6938133841,12201735886,16603431000,13458812938,20730088357,27776059960,28855747959,39366343741,50675799039,64315980139,72550967951,77765778835,1.10443E+11,96298425427,1.12811E+11,1.57619E+11,1.51953E+11,1.34297E+11,1.96308E+11,1.64323E+11
Spain,1529560194,1927163630,2832369177,5078009468,5211715000,8464589591,10116167218,10808688007,17988935591,28382577000,39762151730,53694399645,43957840591,45076920469,46850020635,61181688719,71239736017,78437177619,77078761448,1.0002E+11,95469822366,1.1722E+11,1.13311E+11,1.06576E+11,1.11086E+11,1.36557E+11,1.30599E+11
Sri Lanka,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,274364352,565681206,697117981,851132665,1004899605,903960884,705066781,349579116,570994216,1040059384
Sweden,1315749161,1981729152,3177831049,4672244486,3365068000,4100927226,6426433864,9672692278,15187644363,15955194000,15472067006,27893561082,43427704897,48714329747,61393175053,84772821066,85813940334,96672488236,91283848649,1.0255E+11,90114184932,1.15277E+11,1.52743E+11,1.81935E+11,1.43063E+11,1.68433E+11,1.65402E+11
Switzerland,3408324753,3475740741,7614271088,11274147192,11331762000,18875240494,21061092152,28003626445,36531826825,49710986000,68082037108,89689726522,1.0728E+11,1.21811E+11,1.44996E+11,1.90842E+11,2.23472E+11,2.47242E+11,2.28271E+11,2.61167E+11,2.45059E+11,3.32986E+11,3.58641E+11,4.09738E+11,3.88163E+11,4.57161E+11,4.57818E+11
Taiwan,0,0,0,1749559977,2210024000,4032923333,3531348399,3267569690,3103974490,3349937000,5748816093,15718786572,23491124519,19554492105,31077194535,43948382049,59180003335,62328909050,71525794921,90805683808,90340314351,1.25998E+11,1.70097E+11,2.01929E+11,1.68656E+11,2.33181E+11,3.48752E+11
Tanzania,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4463506,2166889,4883575,7940186,0,0,0,0,0
"Tanzania *, United Republic of",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1906674,0,0,0,0,0,0,0,0,0
Thailand,0,0,0,0,0,0,296337929,412802940,328285905,324399000,1377180735,1927811931,2800367862,3495255124,5754466417,7657653916,10962420363,10960747870,15944543139,22899655330,20691042656,27667367051,25036080635,25259136073,28920297237,27305536578,29609457301
Tunisia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49974273,77242796,60228764,159810543,174610343,127929530,147275469,110282468,17152116,15202209,14811009,0
Turkey,0,0,0,107530696,47213000,99712994,261096276,1243746020,614957254,858314000,2644138161,5298746726,6246947280,6936440986,10184505188,7624404408,12666146614,7898905794,8065185681,10631252719,6126143491,7056890417,6231628687,4277675160,11988979817,13263934560,17872593189
Uganda,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20455176,12049346,0,0,0,0,0,0,0,0
Ukraine,0,0,0,0,0,0,0,0,0,0,0,0,0,152839541,243560778,0,200368933,239212901,250452594,518717318,547385165,419959685,238118608,220090774,137432733,34910672,12121729
United Arab Emirates,0,0,0,0,0,0,0,33021727,9596341,1919000,535661,0,450317316,209054270,708347355,1470186124,2411482009,2530757020,2248981958,2503375552,3000815674,7799109191,6791175085,10170178284,17401985174,21995119590,34750329063
United Kingdom,11258974770,15469451486,26766844746,46559541970,42382393000,64408111666,64934872882,90220370809,1.11337E+11,1.29364E+11,1.59318E+11,2.49687E+11,2.71604E+11,3.17758E+11,3.66846E+11,4.66446E+11,5.0241E+11,5.41109E+11,4.76953E+11,5.48581E+11,5.12347E+11,6.26496E+11,5.70707E+11,6.50278E+11,6.11009E+11,7.02001E+11,7.64119E+11
United States of America,20213629666,26157249496,41593258915,68305591726,68322833000,1.23463E+11,1.47446E+11,2.04741E+11,2.1087E+11,2.78859E+11,3.30681E+11,4.80991E+11,5.67381E+11,5.88464E+11,6.6507E+11,9.12595E+11,1.31115E+12,1.61245E+12,1.7692E+12,2.04211E+12,2.12461E+12,2.84177E+12,3.33609E+12,3.97213E+12,3.79066E+12,5.43424E+12,8.16629E+12
Vietnam,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,607914886,1219567507,1457446170,2217501071,4369172815,3991804906,4205031720,5017358938,6664180171,5100104070,6099771087,7942364750
Virgin Islands,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8050936,0,0,0,0,0,0,0,0,0,0,0,0
Zambia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25644035,7041705,0,0,0,0,0,0,0,0,0,0
